日期(年/月),單位,全國發電量_總計(數值),全國發電量_抽蓄水力(數值),全國發電量_火力_合計(數值),全國發電量_火力_燃煤(數值),全國發電量_火力_燃油(數值),全國發電量_火力_燃氣(數值),全國發電量_核能(數值),全國發電量_再生能源_合計(數值),全國發電量_再生能源_慣常水力(數值),全國發電量_再生能源_地熱(數值),全國發電量_再生能源_太陽光電(數值),全國發電量_再生能源_風力(數值),全國發電量_再生能源_生質能(數值),全國發電量_再生能源_廢棄物(數值),台電發電量_合計(數值),台電發電量_抽蓄水力(數值),台電發電量_火力_小計(數值),台電發電量_火力_燃煤(數值),台電發電量_火力_燃油(數值),台電發電量_火力_燃氣(數值),台電發電量_核能(數值),台電發電量_再生能源_小計(數值),台電發電量_再生能源_慣常慣常水力(數值),台電發電量_再生能源_地熱(數值),台電發電量_再生能源_太陽光電(數值),台電發電量_再生能源_風力(數值),民營電廠發電量_合計(數值),民營電廠發電量_火力_小計(數值),民營電廠發電量_火力_燃煤(數值),民營電廠發電量_火力_燃氣(數值),民營電廠發電量_再生能源_小計(數值),民營電廠發電量_再生能源_慣常水力(數值),民營電廠發電量_再生能源_地熱(數值),民營電廠發電量_再生能源_太陽光電(數值),民營電廠發電量_再生能源_風力(數值),自用發電設備發電量_合計(數值),自用發電設備發電量_火力_小計(數值),自用發電設備發電量_火力_燃煤(數值),自用發電設備發電量_火力_燃油(數值),自用發電設備發電量_火力_燃氣(數值),自用發電設備發電量_再生能源_小計(數值),自用發電設備發電量_再生能源_慣常水力(數值),自用發電設備發電量_再生能源_地熱(數值),自用發電設備發電量_再生能源_太陽光電(數值),自用發電設備發電量_再生能源_風力(數值),自用發電設備發電量_再生能源_生質能(數值),自用發電設備發電量_再生能源_廢棄物(數值)
200711,百萬度,19089.32394,301.693,15047.34655,10051.21314,1434.869903,3561.263507,3056.1146,684.169789,358.682948,0,0.223,65.071378,24.179526,236.012937,12817.32439,301.693,9073.835002,5475.4757,1149.695334,2448.663968,3056.1146,385.681787,349.318388,0,0,36.363399,2976.539461,2940.043944,1886.006489,1054.037455,36.495517,9.36456,0,0,27.130957,3295.460093,3033.467608,2689.730955,285.174569,58.562084,261.992485,0,0,0.223,1.577022,24.179526,236.012937
200712,百萬度,19404.50895,317.71366,14767.5335,10282.36719,1439.755175,3045.411139,3725.1,594.161789,248.048884,0,0.244,52.603339,25.407846,267.85772,12603.13558,317.71366,8279.753786,5449.6553,1089.489121,1740.609365,3725.1,280.568136,244.515514,0,0,36.052622,3463.739556,3444.103669,2214.516927,1229.586742,19.635887,3.53337,0,0,16.102517,3337.633811,3043.676045,2618.194959,350.266054,75.215032,293.957766,0,0,0.244,0.4482,25.407846,267.85772
200801,百萬度,19447.57079,316.28942,14708.79943,10478.51401,1331.739764,2898.545656,3823.0802,599.401741,212.789351,0,0.252838,72.382348,29.579462,284.397742,12402.37607,316.28942,8018.473774,5517.3894,931.158236,1569.926138,3823.0802,244.532678,205.359371,0,0.006298,39.167009,3548.523779,3508.57246,2227.746334,1280.826126,39.951319,7.42998,0,0,32.521339,3496.67094,3181.753196,2733.378276,400.581528,47.793392,314.917744,0,0,0.24654,0.694,29.579462,284.397742
200802,百萬度,17269.80147,299.352842,12689.83055,9109.603291,1255.446691,2324.780565,3577.9042,702.713876,336.334872,0,0.276588,84.113684,28.235776,253.752956,11593.52401,299.352842,7356.024881,5091.9371,918.43705,1345.650731,3577.9042,360.242091,322.945332,0,0.004488,37.292271,2411.275569,2352.915082,1427.412701,925.502381,58.360487,13.38954,0,0,44.970947,3265.001882,2980.890584,2590.25349,337.009641,53.627453,284.111298,0,0,0.2721,1.850466,28.235776,253.752956
200803,百萬度,19621.169,303.8918,15382.28755,10041.40508,1433.833308,3907.049168,3267.0192,667.970447,327.88465,0,0.271722,44.71008,28.843183,266.260812,13490.97932,303.8918,9584.209155,5767.957,1097.839786,2718.412369,3267.0192,335.859163,315.42046,0,0.009215,20.429488,2461.133783,2425.105236,1308.2341,1116.871136,36.028547,12.46419,0,0,23.564357,3669.0559,3372.973163,2965.213978,335.993522,71.765663,296.082737,0,0,0.262507,0.716235,28.843183,266.260812
200804,百萬度,19560.57082,281.060038,15665.63415,9553.651863,1840.124063,4271.858222,3033.1784,580.698231,296.954044,0,0.301334,36.859822,21.550712,225.032319,13940.12466,281.060038,10322.60155,5676.7843,1565.529198,3080.288052,3033.1784,303.284676,287.883554,0,0.00732,15.393802,2356.692452,2326.743572,1223.205351,1103.538221,29.94888,9.07049,0,0,20.87839,3263.753701,3016.289026,2653.662212,274.594865,88.031949,247.464675,0,0,0.294014,0.58763,21.550712,225.032319
200805,百萬度,21226.5893,286.95763,17014.28285,11339.02107,1208.464119,4466.797659,3325.1128,600.236013,299.329019,0,0.319742,34.069251,16.951187,249.566814,14369.68122,286.95763,10450.68038,6236.0313,974.294863,3240.354219,3325.1128,306.930409,290.362319,0,0.008822,16.559268,3356.112547,3330.288713,2175.511912,1154.776801,25.823834,8.9667,0,0,16.857134,3500.795527,3233.313757,2927.477862,234.169256,71.666639,267.48177,0,0,0.31092,0.652849,16.951187,249.566814
200806,百萬度,21432.48695,300.62314,16872.55885,10905.69212,1249.199491,4717.667244,3493.026,766.27896,441.779447,0,0.37669,28.33293,23.486891,272.303002,14575.94698,300.62314,10336.66812,6185.8324,921.732965,3229.10275,3493.026,445.629721,434.672857,0,0.008352,10.948512,3270.778572,3246.587782,1839.61488,1406.972902,24.19079,7.10659,0,0,17.0842,3585.761403,3289.302954,2880.244836,327.466526,81.591592,296.458449,0,0,0.368338,0.300218,23.486891,272.303002
200807,百萬度,22675.21702,292.80514,17877.46875,11340.21652,1286.443538,5250.808695,3772.6354,732.30773,405.052191,0,0.383183,29.053096,24.23825,273.58101,15350.80823,292.80514,10881.32893,6331.4412,976.760076,3573.127657,3772.6354,404.038761,392.005761,0,0.009597,12.023403,3658.127913,3628.368733,2015.352587,1613.016146,29.75918,13.04643,0,0,16.71275,3666.280875,3367.771086,2993.422732,309.683462,64.664892,298.509789,0,0,0.373586,0.316943,24.23825,273.58101
200808,百萬度,22795.61324,304.75008,17839.45891,11313.12649,1445.782204,5080.550211,3766.3974,885.006852,568.699535,0,0.417323,16.789338,22.097271,277.003385,15554.43618,304.75008,10927.83902,6403.2109,1161.94029,3362.687827,3766.3974,555.449679,548.041195,0,0.010384,7.3981,3877.069502,3847.219436,2194.495584,1652.723852,29.850066,20.65834,0,0,9.191726,3364.107561,3064.400454,2715.420008,283.841914,65.138532,299.707107,0,0,0.406939,0.199512,22.097271,277.003385
200809,百萬度,20638.49235,268.63556,15996.01559,10344.54917,1342.139136,4309.327284,3602.9696,770.871602,462.310372,0,0.413142,30.764291,17.955626,259.428171,14100.88252,268.63556,9771.833463,5821.1854,1054.476146,2896.171917,3602.9696,457.443893,446.775882,0,0.008301,10.65971,3349.845176,3314.660291,1977.228934,1337.431357,35.184885,15.53449,0,0,19.650395,3187.764655,2909.521831,2546.134831,287.66299,75.72401,278.242824,0,0,0.404841,0.454186,17.955626,259.428171
